CustomerID,FirstName,LastName,Gender,BirthDate,City,JoinDate
C001,Michael,Davis,M,1996-09-11,Osborneport,2022-09-25
C002,Michael,Miller,M,1959-08-18,New Gabrielleport,2020-11-03
C003,Carol,Hays,F,2005-04-19,Port Allen,2024-02-12
C004,Joseph,Ward,M,1992-06-16,East Edgarborough,2024-09-09
C005,Jamie,Salinas,M,1992-06-18,Port Kimberly,2022-02-24
C006,Danny,Moore,M,1986-10-03,Costaberg,2022-07-09
C007,Erin,Walker,M,1985-01-11,West Jasmine,2021-10-13
C008,Isaiah,Williams,M,1960-11-13,New Michaelland,2025-03-04
C009,Richard,Pacheco,F,2004-08-15,West Lisaville,2025-04-17
C010,Catherine,Rice,M,1976-12-12,West Carol,2025-07-23
C011,Haley,Williams,M,1997-03-03,Leburgh,2023-05-12
C012,Dale,Perry,M,1989-12-08,Lake Dawn,2021-07-16
C013,Robert,Anderson,M,1955-01-28,Jillianhaven,2023-03-22
C014,Brittany,Green,M,1974-06-25,East Samantha,2021-11-09
C015,Matthew,Molina,M,1993-12-12,Quinnville,2022-11-27
C016,Miguel,Johnson,M,1976-04-27,Murrayborough,2022-02-21
C017,Vanessa,Anderson,F,1982-03-11,Peterside,2024-09-25
C018,Breanna,Davis,M,1994-08-19,East William,2024-11-12
C019,John,Smith,F,1998-05-16,Stephaniechester,2023-05-17
C020,Ryan,Cole,F,1982-06-26,Travisstad,2024-04-19
C021,Debbie,Martin,M,1993-11-17,Meganmouth,2022-01-22
C022,Megan,Velasquez,M,1955-11-16,East James,2020-10-02
C023,Mark,Martinez,F,1972-05-09,New Christophermouth,2020-10-19
C024,Molly,Murray,F,1961-11-25,North April,2023-04-20
C025,Cheryl,Gilbert,F,1971-03-12,Bradyshire,2022-01-14
C026,Justin,Macdonald,M,2004-01-04,Shepherdburgh,2024-09-03
C027,Jacqueline,Martin,M,1959-02-05,Robertmouth,2023-08-30
C028,John,Carr,F,1960-02-10,New David,2022-12-16
C029,Tyler,Levine,M,1978-05-20,West Charles,2021-08-30
C030,Lacey,Hall,M,2002-06-10,Thomashaven,2022-08-27
C031,Ashley,Gibson,F,2003-03-14,East Carrieberg,2025-08-26
C032,Valerie,Macdonald,M,1992-11-09,East Shelby,2021-01-12
C033,Jenny,Beck,F,1978-07-27,Lake Cody,2025-03-17
C034,Kari,Miller,F,1964-12-19,East Mary,2025-01-13
C035,Kimberly,King,F,1991-04-19,North George,2023-03-22
C036,Michael,Cervantes,M,1991-11-04,Ashleyview,2020-09-30
C037,Miranda,Nelson,F,1982-08-30,West Melissahaven,2024-01-31
